HHLDNO,CERTMTH,RAWBEN,EXPEDSER,FSMEDEXP,FSDEPDED,RAWNET,SUA1,SUA2,FSCSEXP,RENT,SHELDED,ALLADJ,AMTADJ,REP_SYS,CTPRHH,FSCSDED,RAWGROSS,RAWERND,FSMEDDED,UTIL,FSNDISCA,FSNDIS,LASTCERT,BENFIX,FSUSIZE,BENMAX,MINIMUM_BEN,FSNKID,FSERNDED,FSSLTDED,FSSTDDED,FSTOTDED,SHELCAP,NONCIT_HEAD,COMPOSITION,MED_DED_DEMO,ERN_INC_DED_PCT,FSSLTEXP,NETSCRN,GROSSCRN,,,,,FSOTHERN,FSSLFEMP,FSWAGES,FSCSUPRT,FSTANF,FSCONT,FSDEEM,FSOTHGOV,FSOTHUN,FSSOCSEC,FSEDLOAN,FSGA,FSUNEMP,FSVET,FSWCOMP,FSDIVER,FSSSI,FSWGESUP,FSENERGY,FSEITC,FSFOSTER,TANF_IND,FSEARN,FSUNEARN,FSGRINC,EXCL_FSCSDED,TPOV,WRK_POOR,FSNETINC,FSBEN,FSMINBEN,SSI_CAP,FSSTDDE2,FSERNDE2,FSDEPDE2,FSMEDDE2,FSSLTDE2,FSTOTDE2,PURE_PA,ASSLIM,FSASTEST,FSGRTEST,FSNETEST,FSBENSUPP,SUPP_BEN,FSNONCIT,FSDIS,FSELDER,FSKID,HH_Member__AGE1,HH_SEX,HH_RACE,HH_FSAFIL,HH_CTZN,HH_YRSED,HH_EMPRG,HH_EMPSTA,HH_EMPSTB,HH_WAGES,HH_SLFEMP,HH_EITC,HH_OTHERN,HH_SOCSEC,HH_VET,HH_SSI,HH_UNEMP,HH_WCOMP,HH_OTHGOV,HH_WRKREG,HH_ABWDST,HH_NDISCA,HH_WORK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,12,249,Not entitled to expedited service,0,0,2300,Uses higher standard and does not receive LIHEAA assistance,Not prorated,0,1350,624,No adjustment,0,Simplified reporting (exceeding 130% of income poverty guidelines),4,0,3896,779,0,921,0,0,8,249,4,939,23,2,779,624,193,1596,624,Head of unit is a citizen,Child(ren) with other multiple adults,0,0.1999999285,2271,2313,3007,Sunny Laundry Services,965 Court St,Flint,48507,0,0,3896,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3896,0,3896,0,168,1,2300,249,0,Not in SSI-CAP,193,983,0,0,624,1596,0,2750,1,0,1,690,1,0,0,0,1,28,Female,White,Eligible member of SNAP case under review and entitled to receive benefits,US-born citizen,"Postsecondary education (for example, technical education or some college)",Not participating in E&T,Not in labor force and not looking for work,Not employed,0,0,0,0,0,0,0,0,0,0,"Federal exemption, care of a child under 6 or an incapacitated person",Not an able-bodied adult without dependents (ABAWD),"Age within the range subject to time limits, but not adult without a disability in childless unit",0,3216 Walnut Pl,St. Clair Shores,MI,49323,Samantha,Flores,Edward,Simpson,22,,,,Jillian,Flores,12,Cameron,Simpson,13,,,,,,,,,,,,,,
17,36,112,Not entitled to expedited service,0,0,563,No utilities and no LIHEAA assistance,Not prorated,0,0,0,No adjustment,0,Other,1,0,756,0,0,0,0,0,1,112,1,281,23,0,0,0,193,193,624,Head of unit is a citizen,No children,0,0.1999999285,0,1133,1473,UrbanMarket Express,398 Corunna Rd,Flint,48510,0,0,0,0,0,0,0,0,0,756,0,0,0,0,0,0,0,0,0,0,0,0,0,756,756,0,67,0,563,112,0,Not in SSI-CAP,193,0,0,0,0,193,0,4250,1,1,1,169,1,0,0,1,0,74,Female,(Hispanic or Latino) and White,Eligible member of SNAP case under review and entitled to receive benefits,US-born citizen,College graduate or postgraduate degree,Not participating in E&T,Not in labor force and not looking for work,Not employed,0,0,0,0,756,0,0,0,0,0,"Federal exemption, other",Not an able-bodied adult without dependents (ABAWD),Not in universe (AGEI not within the age range subject to time limits),0,5646 Harbor Ct,Waterford,MI,48242,Rylee,Morris,,,,,,,,,,,,,,,,,,,,,,,,,"Paycheck indicates bi-monthly, application says bi-weekly",
18,36,208,Not entitled to expedited service,0,0,294,No utilities and no LIHEAA assistance,Not prorated,0,0,0,No adjustment,0,Other,1,0,487,0,0,0,0,0,5,192,1,281,23,0,0,0,193,193,624,Head of unit is a citizen,No children,0,0.1999999285,0,1133,1473,QuickBite Burgers,123 Woodward Ave,Detroit,48201,0,0,0,0,0,0,0,0,0,315,0,172,0,0,0,0,0,0,0,0,0,0,0,487,487,0,43,0,294,192,0,Not in SSI-CAP,193,0,0,0,0,193,1,4250,1,1,1,95,1,0,0,1,0,70,Female,Asian,Eligible member of SNAP case under review and entitled to receive benefits,Naturalized citizen,None,Not participating in E&T,Not in labor force and not looking for work,Not employed,0,0,0,0,315,0,0,0,0,0,"Federal exemption, physically or mentally unfit for employment",Not an able-bodied adult without dependents (ABAWD),Not in universe (AGEI not within the age range subject to time limits),0,8842 Highland Rd,Brighton,MI,49569,Hannah,King,,,,,,,,,,,,,,,,,,,,,,,,,,
19,36,23,Not entitled to expedited service,0,0,881,Uses higher standard and does not receive LIHEAA assistance,Not prorated,0,450,553,No adjustment,0,Other,1,0,1830,0,0,921,0,0,3,23,1,281,23,0,0,553,193,746,624,Head of unit is a citizen,No children,0,0.1999999285,1371,1133,1473,Dollar Saver Mart,456 Michigan Ave,Detroit,48202,0,0,0,0,0,0,0,0,0,1830,0,0,0,0,0,0,0,0,0,0,0,0,0,1830,1830,0,162,0,1084,23,1,Not in SSI-CAP,290,0,0,0,553,746,0,4250,1,1,1,258,1,0,0,1,0,66,Female,White,Eligible member of SNAP case under review and entitled to receive benefits,US-born citizen,"Postsecondary education (for example, technical education or some college)",Not participating in E&T,Not in labor force and not looking for work,Not employed,0,0,0,0,1830,0,0,0,0,0,"Federal exemption, physically or mentally unfit for employment",Not an able-bodied adult without dependents (ABAWD),Not in universe (AGEI not within the age range subject to time limits),0,688 Harbor Ave,Holland,MI,48929,Kinsley,Miller,,,,,,,,,,,,,,,,,,,,,,,,,,
20,36,281,Entitled to expedited service and received benefits within Federal time frame,0,0,0,Uses higher standard based on LIHEAA assistance,Not prorated,0,390,934,No adjustment,0,Other,1,0,947,0,0,921,0,0,11,281,1,281,23,0,0,934,193,1127,624,Head of unit is a citizen,No children,0,0.1999999285,1311,1133,1473,Speedy Gas & Go,789 Grand River Ave,Detroit,48203,0,0,0,0,0,0,0,0,0,947,0,0,0,0,0,0,0,0,0,0,0,0,0,947,947,0,84,0,0,281,0,Not in SSI-CAP,109,0,0,0,754,947,0,4250,1,1,1,95,1,0,0,1,0,69,Male,White,Eligible member of SNAP case under review and entitled to receive benefits,US-born citizen,"Postsecondary education (for example, technical education or some college)",Not participating in E&T,Not in labor force and not looking for work,Not employed,0,0,0,0,947,0,0,0,0,0,"Federal exemption, other",Not an able-bodied adult without dependents (ABAWD),Not in universe (AGEI not within the age range subject to time limits),0,1580 Meadow Ave,Clawson,MI,48356,Andrew,Mitchell,,,,,,,,,,,,,,,,,,,,,,,,,,
21,36,159,Not entitled to expedited service,0,0,405,Uses higher standard based on LIHEAA assistance,Not prorated,0,900,1046,No adjustment,0,Other,1,0,1644,0,0,921,0,0,10,159,1,281,23,0,0,1096,193,1289,624,Head of unit is a citizen,No children,0,0.1999999285,1821,1133,1473,FreshWay Grocery,135 Jefferson Ave,Detroit,48204,0,0,0,0,0,0,0,0,209,1435,0,0,0,0,0,0,0,0,0,0,0,0,0,1644,1644,0,145,0,355,174,0,Not in SSI-CAP,290,0,0,0,1096,1289,0,4250,1,1,1,107,1,0,0,1,0,67,Female,Not recorded on application,Eligible member of SNAP case under review and entitled to receive benefits,US-born citizen,NA,Not participating in E&T,Not in labor force and not looking for work,Not employed,0,0,0,0,1435,0,0,0,0,0,"Federal exemption, physically or mentally unfit for employment",Not an able-bodied adult without dependents (ABAWD),Not in universe (AGEI not within the age range subject to time limits),0,2825 College Ln,Ann Arbor,MI,48141,Eliza,Wilson,,,,,,,,,,,,,,,,,,,,,,,,,,
22,36,281,Entitled to expedited service and received benefits within Federal time frame,0,0,0,Uses higher standard and does not receive LIHEAA assistance,Not prorated,0,1883,1956,No adjustment,0,Other,1,0,1888,0,0,921,0,0,0,281,1,281,23,0,0,1957,193,2150,624,Head of unit is a citizen,No children,0,0.1999999285,2804,1133,1473,Sunrise Diner,246 Mack Ave,Detroit,48205,0,0,0,0,0,0,0,0,0,1888,0,0,0,0,0,0,0,0,0,0,0,0,0,1888,1888,0,167,0,0,281,0,Not in SSI-CAP,28,0,0,0,1695,1888,0,4250,1,1,1,95,1,0,0,1,0,76,Female,Black or African American,Eligible member of SNAP case under review and entitled to receive benefits,US-born citizen,College graduate or postgraduate degree,Not participating in E&T,Not in labor force and not looking for work,Not employed,0,0,0,0,1888,0,0,0,0,0,"Federal exemption, physically or mentally unfit for employment",Not an able-bodied adult without dependents (ABAWD),Not in universe (AGEI not within the age range subject to time limits),0,1019 Hamilton Rd,Marquette,MI,49318,Maya,Gutierrez,,,,,,,,,,,,,,,,,,,,,,,,,,
23,36,238,Not entitled to expedited service,0,0,141,Uses higher standard based on LIHEAA assistance,Not prorated,0,750,1067,No adjustment,0,Other,1,0,1401,0,0,921,0,0,34,238,1,281,23,0,0,1067,193,1260,624,Head of unit is a citizen,No children,0,0.1999999285,1671,1133,1473,Happy Paws Pet Care,357 Gratiot Ave,Detroit,48206,0,0,0,0,0,0,0,0,0,1401,0,0,0,0,0,0,0,0,0,0,0,0,0,1401,1401,0,124,0,141,238,0,Not in SSI-CAP,289,0,0,0,1067,1260,0,4250,1,1,1,95,1,0,0,1,0,71,Female,Black or African American,Eligible member of SNAP case under review and entitled to receive benefits,US-born citizen,High school graduate or GED,Not participating in E&T,Not in labor force and not looking for work,Not employed,0,0,0,0,1401,0,0,0,0,0,"Federal exemption, other",Not an able-bodied adult without dependents (ABAWD),Not in universe (AGEI not within the age range subject to time limits),0,4100 Spruce Ct,Tawas City,MI,48521,Addison,Wilson,,,,,,,,,,,,,,,,,,,,,,,,,"Paycheck indicates bi-monthly, application says bi-weekly",
24,12,1324,Not entitled to expedited service,0,0,156,No utilities and no LIHEAA assistance,Not prorated,0,1150,624,No adjustment,0,Simplified reporting (exceeding 130% of income poverty guidelines),6,0,1038,0,0,0,0,0,6,1292,6,1339,23,5,0,624,258,882,624,Head of unit is a citizen,Child(ren) and one female adult,0,0.1999999285,1150,3100,4029,Happy Paws Pet Care,357 Gratiot Ave,Detroit,48206,0,0,0,1038,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1038,1038,0,33,0,156,1292,0,Not in SSI-CAP,258,0,0,0,624,882,0,2750,1,1,1,95,1,0,0,0,1,34,Female,(Hispanic or Latino) and White,Eligible member of SNAP case under review and entitled to receive benefits,US-born citizen,High school graduate or GED,Not participating in E&T,Not in labor force and not looking for work,Not employed,0,0,0,0,0,0,0,0,0,0,"Federal exemption, care of a child under 6 or an incapacitated person",Not an able-bodied adult without dependents (ABAWD),"Age within the range subject to time limits, but not adult without a disability in childless unit",0,2715 College Ct,Adrian,MI,48819,Avery,Morgan,,,,,,,Peyton,Morgan,6,Nicole,Morgan,15,Caroline,Morgan,3,Easton,Morgan,9,Jason,Morgan,2,,,,,
25,36,321,Not entitled to expedited service,0,0,647,No utilities and no LIHEAA assistance,Not prorated,0,0,0,No adjustment,0,Other,2,0,840,0,0,0,0,0,35,321,2,516,23,0,0,0,193,193,624,Head of unit is a citizen,No children,0,0.1999999285,0,1526,1984,Starbucks,109 Eisenhower Pkwy,Ann Arbor,48113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,840,0,0,0,0,0,0,840,840,0,55,0,647,321,0,Not in SSI-CAP,193,0,0,0,0,193,1,4250,1,1,1,195,1,0,0,1,0,76,Female,White,Eligible member of SNAP case under review and entitled to receive benefits,US-born citizen,NA,Not participating in E&T,Not in labor force and not looking for work,Not employed,0,0,0,0,0,0,420,0,0,0,"Federal exemption, physically or mentally unfit for employment",Not an able-bodied adult without dependents (ABAWD),Not in universe (AGEI not within the age range subject to time limits),0,5082 College Ct,Garden City,MI,49669,Alexa,Cooper,Jeremiah,Lopez,22,,,,,,,,,,,,,,,,,,,,,,More than 50% of income from tips,"Paycheck indicates bi-monthly, application says bi-weekly"
26,36,134,Not entitled to expedited service,0,0,468,Uses higher standard and does not receive LIHEAA assistance,Not prorated,0,273,640,No adjustment,0,Other,1,0,1301,0,0,921,0,0,15,140,1,281,23,0,0,640,193,833,624,Head of unit is a citizen,No children,0,0.1999999285,1194,1133,1473,ValueWear Apparel,468 Livernois Ave,Detroit,48207,0,0,0,0,0,0,0,0,0,1301,0,0,0,0,0,0,0,0,0,0,0,0,0,1301,1301,0,115,0,468,140,0,Not in SSI-CAP,289,0,0,0,640,833,0,4250,1,1,1,141,1,0,0,1,0,63,Male,Black or African American,Eligible member of SNAP case under review and entitled to receive benefits,US-born citizen,NA,Not participating in E&T,Not in labor force and not looking for work,Not employed,0,0,0,0,1301,0,0,0,0,0,"Federal exemption, physically or mentally unfit for employment",Not an able-bodied adult without dependents (ABAWD),Not in universe (AGEI not within the age range subject to time limits),0,2968 Washington Way,Grosse Pointe Woods,MI,49987,Liam,Allen,,,,,,,,,,,,,,,,,,,,,,,,,,
27,36,281,Not entitled to expedited service,0,0,0,No utilities and no LIHEAA assistance,Not prorated,0,0,0,No adjustment,0,Other,1,0,0,0,0,0,0,0,11,281,1,281,23,0,0,0,193,193,624,Head of unit is a citizen,No children,0,0.1999999285,0,1133,1473,CleanSweep Janitorial,579 Warren Ave,Detroit,48208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,281,0,Not in SSI-CAP,0,0,0,0,0,0,0,4250,1,1,1,95,1,0,0,1,0,61,Female,White,Eligible member of SNAP case under review and entitled to receive benefits,US-born citizen,High school graduate or GED,Not participating in E&T,Unemployed and looking for work,Not employed,0,0,0,0,0,0,0,0,0,0,Work registrant,Not an able-bodied adult without dependents (ABAWD),Not in universe (AGEI not within the age range subject to time limits),0,4045 Willow Way,Pontiac,MI,48759,Peyton,Scott,,,,,,,,,,,,,,,,,,,,,,,,,,
28,12,187,Not entitled to expedited service,0,0,2530,Uses higher standard and does not receive LIHEAA assistance,Not prorated,0,107,0,No adjustment,0,Simplified reporting (exceeding 130% of income poverty guidelines),4,0,3175,452,0,921,0,0,9,180,4,939,23,3,452,0,193,645,624,Head of unit is a citizen,Child(ren) and one female adult,0,0.1999999285,1028,2313,3007,Happy Trails Car Wash,543 Plainfield Ave,Grand Rapids,49506,0,0,2260,916,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2260,916,3176,0,137,1,2531,179,0,Not in SSI-CAP,193,452,0,0,0,645,0,2750,1,0,0,760,1,0,0,0,1,34,Female,Black or African American,Eligible member of SNAP case under review and entitled to receive benefits,US-born citizen,NA,Not participating in E&T,Employed by other,20â€“29 hours/week,2260,0,0,0,0,0,0,0,0,0,Work registrant,Not an able-bodied adult without dependents (ABAWD),"Age within the range subject to time limits, but not adult without a disability in childless unit",1,6352 Bay Pl,Menominee,MI,48870,Aria,Hill,,,,,,,Landon,Hill,7,Evan,Hill,16,Ellie,Hill,4,,,,,,,,,,,
